=== 実験 005: システム同定用 multi-sine 励振信号 ===
モーター: AK45-36 (ID: 1)
基準周波数: 4.0 Hz, 基準振幅: 0.9 Nm (瞬時最大: 1.710 Nm)
記録時間: 10.0 秒, サンプリング周期: 0.001 秒 (1000 Hz)
安全上限: 位置=3.14 rad, 速度=6.0 rad/s, トルク=10.0 Nm
ログ保存先: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786560014
==================================================
デバイスを初期化: AK45-36  ID: 1
Initializing CAN Manager
Connected on: socketcan channel 'can0'
デバイス制御を開始: AK45-36  ID: 1
位置ゼロ化を実行中...
ゼロ化完了
励振開始...
経過時間: 5.40 秒 | 指令トルク: -0.578 Nm | 実測トルク: -0.309 Nm | 位置: 0.767 rad | 速度: 2.264 rad/s
経過時間: 5.50 秒 | 指令トルク: -0.737 Nm | 実測トルク: -0.632 Nm | 位置: 0.673 rad | 速度: -2.718 rad/s
経過時間: 5.60 秒 | 指令トルク: 0.722 Nm | 実測トルク: 0.576 Nm | 位置: 0.626 rad | 速度: 1.927 rad/s
経過時間: 5.70 秒 | 指令トルク: -1.215 Nm | 実測トルク: -0.890 Nm | 位置: 0.761 rad | 速度: -0.675 rad/s
経過時間: 5.80 秒 | 指令トルク: 0.255 Nm | 実測トルク: 0.143 Nm | 位置: 0.566 rad | 速度: -0.590 rad/s
経過時間: 5.90 秒 | 指令トルク: -0.225 Nm | 実測トルク: -0.051 Nm | 位置: 0.751 rad | 速度: 2.079 rad/s
経過時間: 6.00 秒 | 指令トルク: -0.506 Nm | 実測トルク: -0.300 Nm | 位置: 0.672 rad | 速度: -2.111 rad/s
経過時間: 6.10 秒 | 指令トルク: 0.285 Nm | 実測トルク: 0.346 Nm | 位置: 0.650 rad | 速度: 2.094 rad/s
経過時間: 6.20 秒 | 指令トルク: -0.436 Nm | 実測トルク: -0.263 Nm | 位置: 0.791 rad | 速度: -0.866 rad/s
経過時間: 6.30 秒 | 指令トルク: 0.368 Nm | 実測トルク: 0.410 Nm | 位置: 0.616 rad | 速度: 0.098 rad/s
経過時間: 6.40 秒 | 指令トルク: -0.307 Nm | 実測トルク: -0.189 Nm | 位置: 0.796 rad | 速度: 1.607 rad/s
経過時間: 6.50 秒 | 指令トルク: 0.446 Nm | 実測トルク: 0.420 Nm | 位置: 0.697 rad | 速度: -2.237 rad/s
経過時間: 6.60 秒 | 指令トルク: 0.173 Nm | 実測トルク: 0.263 Nm | 位置: 0.675 rad | 速度: 2.375 rad/s
経過時間: 6.70 秒 | 指令トルク: -0.233 Nm | 実測トルク: -0.300 Nm | 位置: 0.804 rad | 速度: -1.499 rad/s
経過時間: 6.80 秒 | 指令トルク: 1.163 Nm | 実測トルク: 1.019 Nm | 位置: 0.610 rad | 速度: 0.063 rad/s
経過時間: 6.90 秒 | 指令トルク: -0.711 Nm | 実測トルク: -0.595 Nm | 位置: 0.792 rad | 速度: 1.657 rad/s
経過時間: 7.00 秒 | 指令トルク: 0.795 Nm | 実測トルク: 0.438 Nm | 位置: 0.701 rad | 速度: -2.815 rad/s
経過時間: 7.10 秒 | 指令トルク: 0.541 Nm | 実測トルク: 0.567 Nm | 位置: 0.697 rad | 速度: 2.908 rad/s
経過時間: 7.20 秒 | 指令トルク: -0.892 Nm | 実測トルク: -0.936 Nm | 位置: 0.848 rad | 速度: -1.558 rad/s
経過時間: 7.30 秒 | 指令トルク: 1.535 Nm | 実測トルク: 1.093 Nm | 位置: 0.649 rad | 速度: -0.450 rad/s
経過時間: 7.40 秒 | 指令トルク: -0.877 Nm | 実測トルク: -0.650 Nm | 位置: 0.848 rad | 速度: 2.255 rad/s
